ring	date	sex	age	site
EC60730	2019-02-23	M	A	Wuerm
EC60752	2019-08-06	M	A	Wuerm
EC60764	2019-08-06	M	A	Wuerm
EC60710	2019-08-23	F	A	Wuerm
EC60710	2019-09-11	F	A	Wuerm
EC60752	2019-09-11	M	A	Wuerm
EC60734	2019-09-27	F	A	Wuerm
EC60764	2019-10-09	M	A	Wuerm
EC60746	2019-02-26	M	A	Wuerm
EC60717	2019-02-28	F	A	Wuerm
EC60726	2019-03-03	M	A	Kienbach
EC60730	2019-03-10	M	A	Wuerm
EC60734	2019-03-24	F	A	Wuerm
EC60730	2019-03-24	M	A	Wuerm
EC60746	2019-03-18	M	A	Wuerm
EC60746	2019-03-22	M	A	Wuerm
EC60730	2019-03-22	M	A	Wuerm
EC60746	2019-03-10	M	A	Wuerm
EC60734	2019-03-10	F	A	Wuerm
EC60746	2019-03-08	M	A	Wuerm
EC60711	2019-03-16	F	A	Wuerm
EC60734	2019-03-16	F	A	Wuerm
EC60746	2019-03-16	M	A	Wuerm
EC60704	2019-03-23	M	A	Aubach
EC63501	2021-08-30	F	A	Wuerm
EC63510	2021-08-30	M	A	Wuerm
EC63502	2021-08-30	M	A	Wuerm
EC63511	2021-08-30	M	A	Wuerm
EC63536	2021-10-16	M	A	Wuerm
EC60764	2021-10-16	M	A	Wuerm
EC63501	2021-10-16	F	A	Wuerm
EC60781	2020-04-16	M	A	Wuerm
EC60780	2020-04-20	U	A	Wuerm
EC60781	2020-04-21	M	A	Wuerm
EC60778	2020-04-22	F	A	Wuerm
EC60779	2020-04-22	F	A	Wuerm
EC60781	2020-04-22	M	A	Wuerm
EC60771	2020-04-22	F	A	Wuerm
EC60778	2020-04-21	F	A	Wuerm
EC60771	2020-04-16	F	A	Wuerm
EC60777	2020-04-16	U	A	Wuerm
EC60771	2020-08-13	F	A	Wuerm
EC60781	2020-08-24	M	A	Wuerm
EC60771	2020-08-24	F	A	Wuerm
EC60764	2020-08-24	M	A	Wuerm
EC60777	2020-04-15	U	A	Wuerm
EC60778	2020-04-16	F	A	Wuerm
EC60779	2020-04-15	F	A	Wuerm
EC60779	2020-04-16	F	A	Wuerm
EC60780	2020-04-15	U	A	Wuerm
